fiscal_year,document_type,local_file,legistar_matter_number,legistar_url,adoption_date,status,notes,adopting_event_id,adopting_body,adopting_action,adopting_datetime
2008,schedule_c,source/FY08/schedule_c_rvs_2008.pdf,Res 1090-2007,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=447681&GUID=6E45CB4C-554E-4CCD-9B7D-05325C990AB8,2007-10-17,confirmed,Per FY2008 pilot; committee report/hearing/press-release attachments present locally; no separate Schedule C schedule was ever a Legistar attachment.,7634,City Council,"Approved, by Council",2007-10-17T18:30:00
2008,capital_a,source/FY08/Res0910-2007-CapitalA-Press-Release.doc,Res 0910-2007,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=38974&GUID=DCF0B66A-F4B4-426E-B8AC-17A46D384BC3,2007-06-15,confirmed,Local files are cover materials (press release + hearing transcripts); no §254 schedule attachment on Legistar.,7434,City Council,"Approved, by Council",2007-06-15T13:30:00
2008,capital_b,,Res 0911-2007,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=38975&GUID=2517E038-365C-44CB-9EF2-1B90286D22D7,2007-06-15,not_located,Matter confirmed; no local file downloaded.,,,,
2008,transparency_reso_01,,Res 1310-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=40585&GUID=8736844C-B466-4947-8400-7D13B8FC2C05,2008-03-12,not_located,Matter confirmed; no local file.,,,,
2008,transparency_reso_02,,Res 1437-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41085&GUID=F4ECC3FA-7164-42B5-9B71-F453A71F7F72,2008-05-28,not_located,Matter confirmed; no local file.,,,,
2008,transparency_reso_03,,Res 1503-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41377&GUID=D4DF1CC1-552F-42DD-B9F3-A60864F93AE3,2008-06-29,not_located,Matter confirmed; no local file.,,,,
2009,schedule_c,source/FY09/fy09-Schedule-C-final.pdf,Res 1585-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41463&GUID=7C9F99BE-DB59-4EBC-9434-0C1010881E09,2008-08-14,candidate,anchor (earliest in sequence); no separate Schedule C resolution after FY2008. Same matter as Transparency Reso 01.,,,,
2009,capital_a,,Res 1512-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41345&GUID=141861FE-0DC8-4C33-A7BA-E6F2A16CEB4A,2008-06-29,not_located,Matter confirmed; no local file.,,,,
2009,capital_b,source/FY09/fy09-adopt08_capreso.pdf,Res 1513-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41346&GUID=6D720891-78CF-45BB-8F22-550C045C51F1,2008-06-29,confirmed,,8362,City Council,"Approved, by Council",2008-06-29T21:00:00
2009,transparency_reso_01,source/FY09/transparency-resolutions/Transparency-Reso-01-2008-08-14.pdf,Res 1585-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41463&GUID=7C9F99BE-DB59-4EBC-9434-0C1010881E09,2008-08-14,confirmed,Same matter as FY2009 Schedule C anchor.,8389,City Council,"Approved, by Council",2008-08-14T18:30:00
2009,transparency_reso_02,source/FY09/transparency-resolutions/Transparency-Reso-02-2008-09-24.pdf,Res 1624-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41720&GUID=87F74AA0-65B0-454D-A12C-FDC8821512DA,2008-09-24,confirmed,,8450,City Council,"Approved, by Council",2008-09-24T18:30:00
2009,transparency_reso_03,source/FY09/transparency-resolutions/Transparency-Reso-03-2008-11-19.pdf,Res 1707-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41912&GUID=FD537A7E-0AEC-457D-9C58-218DA83565FC,2008-11-19,confirmed,Renamed from fy09-report_committee_finance.pdf.,8595,City Council,"Approved, by Council",2008-11-19T18:30:00
2009,transparency_reso_04,source/FY09/transparency-resolutions/Transparency-Reso-04-2008-12-18.pdf,Res 1740-2008,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=41998&GUID=2C0D15EA-B364-4005-B168-3A250C2A7FEF,2008-12-18,confirmed,Renamed from fy09-Scan001.pdf.,8674,City Council,"Approved, by Council",2008-12-18T18:30:00
2009,transparency_reso_05,source/FY09/transparency-resolutions/Transparency-Reso-05-2009-02-11.pdf,Res 1818-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42323&GUID=908CD458-0443-4521-8E49-88347CCD201C,2009-02-11,confirmed,,8758,City Council,"Approved, by Council",2009-02-11T18:30:00
2009,transparency_reso_06,source/FY09/transparency-resolutions/Transparency-Reso-06-2009-04-02.pdf,Res 1896-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42644&GUID=557DC6AA-6E15-4FAF-BF8D-FA3923D5348A,2009-04-02,confirmed,,8913,City Council,"Approved, by Council",2009-04-02T18:30:00
2009,transparency_reso_07,source/FY09/transparency-resolutions/Transparency-Reso-07-2009-04-22.pdf,Res 1934-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42729&GUID=090C22C3-7D61-4CB3-ACDB-3A372E68542C,2009-04-22,confirmed,Omnibus (covers FY2008 + FY2009).,8958,City Council,"Approved, by Council",2009-04-22T18:30:00
2009,transparency_reso_08,source/FY09/transparency-resolutions/Transparency-Reso-08-2009-05-20.pdf,Res 1985-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42996&GUID=C0EF6C0D-90D7-4DA0-A1BD-EA63B35F7FCA,2009-05-20,confirmed,,9058,City Council,"Approved, by Council",2009-05-20T18:30:00
2010,schedule_c,source/FY10/fy_2010_sched_c_final.pdf,Res 2033-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43180&GUID=F67CFFBF-94D0-4B08-87E3-8FCAA76A6C75,2009-06-19,candidate,anchor (earliest in sequence). Same matter as Transparency Reso 02.,,,,
2010,capital_a,,Res 2036-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43183&GUID=90C13620-E10B-4B5D-AE91-1A5A9F32AAF0,2009-06-19,not_located,Matter confirmed; no local file.,,,,
2010,capital_b,source/FY10/fy_2010_changes_exec_budget_top.pdf,Res 2037-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43184&GUID=0EE3EBDB-CBB6-4169-8933-025466A88B8E,2009-06-19,confirmed,,9138,City Council,"Approved, by Council",2009-06-19T14:30:00
2010,transparency_reso,,Res 2201-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43709&GUID=08D44EB8-CB73-418A-80AF-B62374C86F13,2009-09-30,not_located,Matter confirmed via get_bill (was a council.nyc.gov dead link); no local file. Sits between Transparency Reso 04 and 05.,,,,
2010,transparency_reso_01,source/FY10/transparency-resolutions/Transparency-Reso-01-2009-03-11.pdf,Res 1854-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=42560&GUID=33080384-CE1C-48A7-9DCA-5A988992EEA5,2009-03-11,confirmed,,8864,City Council,"Approved, by Council",2009-03-11T18:30:00
2010,transparency_reso_02,source/FY10/transparency-resolutions/Transparency-Reso-02-2009-06-19.pdf,Res 2033-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43180&GUID=F67CFFBF-94D0-4B08-87E3-8FCAA76A6C75,2009-06-19,confirmed,Same matter as FY2010 Schedule C anchor.,9138,City Council,"Approved, by Council",2009-06-19T18:30:00
2010,transparency_reso_03,source/FY10/transparency-resolutions/Transparency-Reso-03-2009-06-30.pdf,Res 2061-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43229&GUID=2843987E-E2FF-4C3E-B8FF-FE49D0D01266,2009-06-30,confirmed,,9158,City Council,"Approved, by Council",2009-06-30T18:30:00
2010,transparency_reso_04,source/FY10/transparency-resolutions/Transparency-Reso-04-2009-08-20.pdf,Res 2147-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43522&GUID=042C66F0-4A5F-4498-9EAC-C88F234AF49F,2009-08-20,confirmed,,9207,City Council,"Approved, by Council",2009-08-20T18:30:00
2010,transparency_reso_05,source/FY10/transparency-resolutions/Transparency-Reso-05-2009-10-28.pdf,Res 2240-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43845&GUID=3215C320-42F2-4286-86EF-1AE1FC7B62FA,2009-10-28,confirmed,,9364,City Council,"Approved, by Council",2009-10-28T18:30:00
2010,transparency_reso_06,source/FY10/transparency-resolutions/Transparency-Reso-06-2009-11-16.pdf,Res 2262-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=43935&GUID=744C19F6-DBCF-4257-8722-0754AFBEDE2D,2009-11-16,confirmed,,9429,City Council,"Approved, by Council",2009-11-16T18:30:00
2010,transparency_reso_07,source/FY10/transparency-resolutions/Transparency-Reso-07-2009-12-21.pdf,Res 2303-2009,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44115&GUID=894CCEA7-51C8-45FF-90CD-8392A09E1D95,2009-12-21,confirmed,,9525,City Council,"Approved, by Council",2009-12-21T18:30:00
2010,transparency_reso_08,source/FY10/transparency-resolutions/Transparency-Reso-08-2010-03-03.pdf,Res 0058-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44450&GUID=1EB5A7E2-088A-437E-98FA-E48EE4DE67F9,2010-03-03,confirmed,,9695,City Council,"Approved, by Council",2010-03-03T18:30:00
2010,transparency_reso_09,source/FY10/transparency-resolutions/Transparency-Reso-09-2010-03-25.pdf,Res 0127-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44579&GUID=9AA5C81B-8BD7-4CB5-A722-5E175405686A,2010-03-25,confirmed,,9712,City Council,"Approved, by Council",2010-03-25T18:30:00
2010,transparency_reso_10,source/FY10/transparency-resolutions/Transparency-Reso-10-2010-04-29.pdf,Res 0206-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=44924&GUID=943106E1-3C36-44E0-A5DE-D099996455E6,2010-04-29,confirmed,,9824,City Council,"Approved, by Council",2010-04-29T18:30:00
2010,transparency_reso_11,source/FY10/transparency-resolutions/Transparency-Reso-11-2010-05-25.pdf,Res 0246-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45114&GUID=E6591906-E663-4109-95EF-573910CD7739,2010-05-25,confirmed,,9913,City Council,"Approved, by Council",2010-05-25T18:30:00
2010,transparency_reso_12,source/FY10/transparency-resolutions/Transparency-Reso-12-2010-06-29.pdf,Res 0317-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45408&GUID=6A1FF6D6-84AE-4032-90B3-1EE3E3B8F470,2010-06-29,confirmed,,10004,City Council,"Approved, by Council",2010-06-29T18:30:00
2011,schedule_c,source/FY11/fy2011-C2011.pdf,Res 0371-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45476&GUID=433AA845-DB6B-4D65-AA6A-D70339A0A032,2010-07-29,candidate,anchor (earliest in sequence). Same matter as Transparency Reso 01.,,,,
2011,capital_a,source/FY11/fy2011-FY2011-Section-254-Changes.pdf,Res 0325-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45401&GUID=C07E859D-8525-44B4-88D1-7FB5108AA870,2010-06-29,confirmed,,10004,City Council,"Approved, by Council",2010-06-29T14:30:00
2011,capital_b,source/FY11/fy2011-fy11_changes_executive_capital_budget_adopted_by_nycc.pdf,Res 0326-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45402&GUID=2CFF38D3-C879-46FA-8B86-FBF8DD59A0B4,2010-06-29,confirmed,,10004,City Council,"Approved, by Council",2010-06-29T14:30:00
2011,transparency_reso_01,source/FY11/transparency-resolutions/Transparency-Reso-01-2010-07-29.pdf,Res 0371-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45476&GUID=433AA845-DB6B-4D65-AA6A-D70339A0A032,2010-07-29,confirmed,Same matter as FY2011 Schedule C anchor.,10029,City Council,"Approved, by Council",2010-07-29T18:30:00
2011,transparency_reso_02,source/FY11/transparency-resolutions/Transparency-Reso-02-2010-08-25.pdf,Res 0421-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45623&GUID=C4998827-2AFF-4A6E-B728-57FDCD04E617,2010-08-25,confirmed,,10045,City Council,"Approved, by Council",2010-08-25T18:30:00
2011,transparency_reso_03,source/FY11/transparency-resolutions/Transparency-Reso-03-2010-09-29.pdf,Res 0465-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45761&GUID=C2196587-97A2-4B45-B147-BD6F0EAD2FB6,2010-09-29,confirmed,,10114,City Council,"Approved, by Council",2010-09-29T18:30:00
2011,transparency_reso_04,source/FY11/transparency-resolutions/Transparency-Reso-04-2010-10-13.pdf,Res 0479-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=45870&GUID=A42E28F2-A062-45AE-A396-F280175B8E96,2010-10-13,confirmed,,10178,City Council,"Approved, by Council",2010-10-13T18:30:00
2011,transparency_reso_05,source/FY11/transparency-resolutions/Transparency-Reso-05-2010-11-17.pdf,Res 0546-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=46092&GUID=34D23D82-A799-4E71-9F17-89F605520BA7,2010-11-17,confirmed,,10266,City Council,"Approved, by Council",2010-11-17T18:30:00
2011,transparency_reso_06,source/FY11/transparency-resolutions/Transparency-Reso-06-2010-12-20.pdf,Res 0607-2010,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=46254&GUID=51BBAB85-B93C-4E50-A01A-68360D375732,2010-12-20,confirmed,,10366,City Council,"Approved, by Council",2010-12-20T18:30:00
2011,transparency_reso_07,source/FY11/transparency-resolutions/Transparency-Reso-07-2011-02-16.pdf,Res 0673-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=46447&GUID=41B7AFEE-D6FF-44BB-9020-7A6B53AE88CE,2011-02-16,confirmed,,10539,City Council,"Approved, by Council",2011-02-16T18:30:00
2011,transparency_reso_08,source/FY11/transparency-resolutions/Transparency-Reso-08-2011-04-06.pdf,Res 0764-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=46850&GUID=935A8888-0789-4D5F-894B-FBA05C2F54DA,2011-04-06,confirmed,,10692,City Council,"Approved, by Council",2011-04-06T18:30:00
2011,transparency_reso_09,source/FY11/transparency-resolutions/Transparency-Reso-09-2011-05-11.pdf,Res 0818-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=46959&GUID=99416922-FCAA-42B0-9024-4057E9A78539,2011-05-11,confirmed,,10791,City Council,"Approved, by Council",2011-05-11T18:30:00
2011,transparency_reso_10,source/FY11/transparency-resolutions/Transparency-Reso-10-2011-06-14.pdf,Res 0865-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=47369&GUID=F3BD4020-E565-4D35-B050-FA458BC844F0,2011-06-14,confirmed,,10870,City Council,"Approved, by Council",2011-06-14T18:30:00
2012,schedule_c,source/FY12/fy2012-skedcfinal.pdf,Res 0960-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=47521&GUID=25BD0BF4-74B7-4C6C-9DF9-375A70C3EE66,2011-07-28,candidate,anchor (earliest in sequence). Same matter as Transparency Reso 01.,,,,
2012,capital_a,source/FY12/fy2012-changestobudget.pdf,Res 0920-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=47442&GUID=445411D5-DB76-41FD-854F-17BF75CF8AB8,2011-06-29,confirmed,"CORRECTED 2026-07-07: local file is Resolution A (verified by page render), not Resolution B as an earlier pass guessed from the filename.",10891,City Council,"Approved, by Council",2011-06-29T09:30:00
2012,capital_b,,Res 0921-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=47443&GUID=DFEDEE86-C4D9-463A-93E5-78D1FAC012A0,2011-06-29,not_located,No local file; Legistar has hearing transcripts only (no schedule/report). Low value.,,,,
2012,transparency_reso_01,source/FY12/transparency-resolutions/Transparency-Reso-01-2011-08-17.pdf,Res 0987-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=47640&GUID=35984B75-06AD-4322-AF2C-97D4EAC9E6F4,2011-08-17,confirmed,Same matter as FY2012 Schedule C anchor.,10919,City Council,"Approved, by Council",2011-08-17T17:30:00
2012,transparency_reso_02,source/FY12/transparency-resolutions/Transparency-Reso-02-2011-10-05.pdf,Res 1068-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=47871&GUID=47E67136-2BF9-432F-A4A5-CDAAFA1E53B3,2011-10-05,confirmed,Scanned PDF (no text layer); date via QuickLook render.,11058,City Council,"Approved, by Council",2011-10-05T18:30:00
2012,transparency_reso_03,source/FY12/transparency-resolutions/Transparency-Reso-03-2011-10-17.pdf,Res 1084-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=47943&GUID=CFC29032-164D-4733-8520-015F9F052522,2011-10-17,confirmed,,11071,City Council,"Approved, by Council",2011-10-17T18:30:00
2012,transparency_reso_04,source/FY12/transparency-resolutions/Transparency-Reso-04-2011-11-03.pdf,Res 1101-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=48009&GUID=548C5E42-750C-4382-BC81-39783A9E14B5,2011-11-03,confirmed,,11150,City Council,"Approved, by Council",2011-11-03T18:30:00
2012,transparency_reso_05,source/FY12/transparency-resolutions/Transparency-Reso-05-2011-12-19.pdf,Res 1173-2011,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=48255&GUID=6567B0B9-B317-46DA-9952-2A9AD7B17A7B,2011-12-19,confirmed,,11257,City Council,"Approved, by Council",2011-12-19T16:30:00
2012,transparency_reso_06,source/FY12/transparency-resolutions/Transparency-Reso-06-2012-01-04.pdf,Res 1192-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=48284&GUID=45059526-6E05-42B0-83B2-FE0911A3B9CC,2012-01-04,confirmed,,11311,City Council,"Approved, by Council",2012-01-04T17:00:00
2012,transparency_reso_07,source/FY12/transparency-resolutions/Transparency-Reso-07-2012-02-01.pdf,Res 1209-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=48373&GUID=2F99F29B-3F50-4866-B713-61FE82243426,2012-02-01,confirmed,"Two local files (Transparency-Reso-07-2012-02-01.pdf and -dup.pdf, orig fy2012-314tran/315tran) are near-identical and map to this same matter; flagged for a dedup pass.",11377,City Council,"Approved, by Council",2012-02-01T18:30:00
2013,schedule_c,source/FY13/fy2013-FY-2013-Schedule-C-Merge-Final1.pdf,Res 1438-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1155805&GUID=3A016895-B854-4C5D-8E93-B52FA700C8FF,2012-07-25,candidate,anchor (earliest in sequence). CORRECTED 2026-07-07: superseded the earlier Res 1623-2012 guess; Res 1438-2012 is the true earliest FY2013 designation reso (= Transparency Reso 01). Res 1623-2012 is actually the 7th in sequence.,,,,
2013,capital_a,,Res 1405-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=49121&GUID=77AFCA0A-17EA-4737-9BD7-727E9161527D,2012-06-28,not_located,Matter confirmed; no local file.,,,,
2013,capital_b,source/FY13/fy2013-adopt12_capresowork.pdf,Res 1406-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=49122&GUID=52444795-B191-4718-9031-12FAFCEC397D,2012-06-28,confirmed,,11746,City Council,"Approved, by Council",2012-06-28T20:00:00
2013,transparency_reso_01,source/FY13/transparency-resolutions/Transparency-Reso-01-2012-07-25.pdf,Res 1438-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1155805&GUID=3A016895-B854-4C5D-8E93-B52FA700C8FF,2012-07-25,confirmed,Completed Package (PDF). Same matter as FY2013 Schedule C anchor.,11762,City Council,"Approved, by Council",2012-07-25T18:30:00
2013,transparency_reso_02,source/FY13/transparency-resolutions/Transparency-Reso-02-2012-08-22.pdf,Res 1473-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1188633&GUID=81F42067-DA73-4E7D-8E7C-502443842BF9,2012-08-22,confirmed,,11783,City Council,"Approved, by Council",2012-08-22T15:00:00
2013,transparency_reso_03,source/FY13/transparency-resolutions/Transparency-Reso-03-2012-09-24.pdf,Res 1518-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1200848&GUID=A7714D16-A897-44C0-8281-71AEE699BFCF,2012-09-24,confirmed,,11857,City Council,"Approved, by Council",2012-09-24T18:30:00
2013,transparency_reso_04,source/FY13/transparency-resolutions/Transparency-Reso-04-2012-10-11.pdf,Res 1539-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1213231&GUID=F8283B8A-5036-4738-8A8F-0106B84E34A7,2012-10-11,confirmed,,11932,City Council,"Approved, by Council",2012-10-11T18:30:00
2013,transparency_reso_05,source/FY13/transparency-resolutions/Transparency-Reso-05-2012-11-13.pdf,Res 1573-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1219079&GUID=E1FE360E-07BE-4D15-906D-60AC2A5452B0,2012-11-13,confirmed,,11963,City Council,"Approved, by Council",2012-11-13T18:30:00
2013,transparency_reso_06,source/FY13/transparency-resolutions/Transparency-Reso-06-2012-12-10.pdf,Res 1603-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1244746&GUID=03254822-26AB-4DA4-BD10-002BAFA257A0,2012-12-10,confirmed,,12086,City Council,"Approved, by Council",2012-12-10T18:30:00
2013,transparency_reso_07,source/FY13/transparency-resolutions/Transparency-Reso-07-2012-12-18.doc,Res 1623-2012,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1264203&GUID=38466207-73A2-45CF-972F-7664BC4D9B1C,2012-12-18,confirmed,Committee Report (.doc; no Completed Package for this matter).,12097,City Council,"Approved, by Council",2012-12-18T18:30:00
2013,transparency_reso_08,source/FY13/transparency-resolutions/Transparency-Reso-08-2013-01-23.pdf,Res 1641-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1273301&GUID=0DBF3ABE-2333-45C4-91F5-7503B1A46D06,2013-01-23,confirmed,,12180,City Council,"Approved, by Council",2013-01-23T18:30:00
2013,transparency_reso_09,source/FY13/transparency-resolutions/Transparency-Reso-09-2013-02-27.pdf,Res 1664-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1288621&GUID=1A0DFE07-196B-4C91-A91D-9CE2DEA07471,2013-02-27,confirmed,Committee Report (PDF; no Completed Package for this matter).,12301,City Council,"Approved, by Council",2013-02-27T18:30:00
2013,transparency_reso_10,source/FY13/transparency-resolutions/Transparency-Reso-10-2013-03-13.doc,Res 1674-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1318598&GUID=45B7C850-C2FB-42DA-A864-19EDF1E0B9D6,2013-03-13,confirmed,Committee Report (.doc).,12338,City Council,"Approved, by Council",2013-03-13T18:30:00
2013,transparency_reso_11,source/FY13/transparency-resolutions/Transparency-Reso-11-2013-05-08.doc,Res 1750-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1424510&GUID=898F2658-7A6B-4C3E-A38B-8C46A458B6CC,2013-05-08,confirmed,Committee Report (.doc).,12511,City Council,"Approved, by Council",2013-05-08T18:30:00
2013,transparency_reso_12,source/FY13/transparency-resolutions/Transparency-Reso-12-2013-06-26.pdf,Res 1848-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=1449622&GUID=1CDBA0C4-BB25-4308-B24E-BACF0E921C99,2013-06-26,confirmed,,12642,City Council,"Approved, by Council",2013-06-26T22:00:00
2014,schedule_c,source/FY14/fy2014-skedc.pdf,Res 1903-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=50856&GUID=2A7AC5D0-E365-4E9E-A854-874A04106EB7,2013-08-22,candidate,anchor (earliest identified this pass; lower confidence).,,,,
2014,capital_a,,Res 1852-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=50713&GUID=BCCDF0FD-9840-4CB9-8147-D674CF085CCE,2013-06-26,not_located,Matter confirmed; no local file. Legistar has hearing transcripts only (genuine schedule gap for FY2014).,,,,
2014,capital_b,,Res 1853-2013,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=50714&GUID=E4C8AC32-B301-421B-9533-58897EB23CBA,2013-06-26,not_located,Matter confirmed; no local file. Legistar has hearing transcripts only.,,,,
2014,transparency_reso_01,source/FY14/transparency-resolutions/Transparency-Reso-01-2014-04-29.pdf,Res 0190-2014,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=52526&GUID=E9DCC52A-6503-4B59-BDB0-5699B786F3E5,2014-04-29,confirmed,Renamed from fy2014-reso11.pdf (11th of a longer sequence; only last 3 downloaded).,13259,City Council,"Approved, by Council",2014-04-29T18:30:00
2014,transparency_reso_02,source/FY14/transparency-resolutions/Transparency-Reso-02-2014-05-29.pdf,Res 0256-2014,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=52771&GUID=7010D543-EE25-4191-A855-88D983BA2FD3,2014-05-29,confirmed,Renamed from fy2014-reso12.pdf.,13355,City Council,"Approved, by Council",2014-05-29T18:30:00
2014,transparency_reso_03,source/FY14/transparency-resolutions/Transparency-Reso-03-2014-06-11.pdf,Res 0277-2014,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=52852&GUID=CBDC7D2B-8D42-48D7-B322-2E14E6A9F750,2014-06-11,confirmed,Renamed from fy2014-061114reso.pdf.,13400,City Council,"Approved, by Council",2014-06-11T18:30:00
2015,schedule_c,source/FY15/fy2015-FY15-Schedule-C-Template-Final.pdf,Res 0300-2014,,2014-06-25,confirmed,Designation reso filed same day as budget/Capital adoption; attachment-level link to this PDF not independently verified.,13415,City Council,"Approved, by Council",2014-06-25T20:30:00
2015,terms_conditions,source/FY15/fy2015-tc.pdf,Res 0310-2014,,2014-06-25,candidate,Not confirmed as a standalone matter; likely adopted as an exhibit within the main budget-adoption resolution (M 0051-2014).,,,,
2015,capital_a,source/FY15/fy2015-adopt14_capresowork.pdf,Res 0312-2014,,2014-06-25,confirmed,Paired B = Res 0313-2014 (adjacency + title pattern).,13415,City Council,"Approved, by Council",2014-06-25T20:00:00
2015,transparency_reso_01,source/FY15/transparency-resolutions/Transparency-Reso-01-2014-07-24.pdf,Res 0352-2014,,2014-07-24,confirmed,URL not captured in source doc; resolve via get_bill.,13429,City Council,"Approved, by Council",2014-07-24T18:30:00
