member,organization,program,ein,amount,purpose
Brooks-Powers,"100 Suits for 100 Men, Inc.",Council District 31,462971279,7000,"Funding is to support services to seniors, including meal delivery, hair cuts, visits and social and community events in Council District 31."
Stevens,"1332 Fulton Avenue Day Care Center, Inc.",G.R.A.N.N.Y Program - Council District 16,132690309,20000,"Funds will go to G.R.A.N.N.Y program, which provides senior citizens that are or have been raising children with counseling, referrals, social services and social events within Council District 16."
Bottcher,"Actors Fund of America, The",Manhattan Plaza,131635251,5000,Funds will support Actors Fund AileyDance Classes for Seniors at Manhattan Plaza.
Osse,"Age Friendly Central Brooklyn, Inc.",,853870243,10000,Funding will be used for Senior Pampering Day.
Louis,"Agudath Israel of America Community Services, Inc.",Brookdale Neighborhood Center,133975090,5000,Funds will support programming at Brookdale Neighborhood Center.
Yeger,"Agudath Israel of America Community Services, Inc.",Brookdale Senior Center,133975090,25000,"Funds will be used for printing of newsletters, exercise programs, recreational excursions and support for Brookdale Senior Center."
Gennaro,"Agudath Israel of America Community Services, Inc.",Council District 24,133975090,16000,The purpose of this funding is to help subsidize operational and programming costs.
De La Rosa,"Agudath Israel of America Community Services, Inc.",Moriah Senior Center,133975090,10000,To support programming for Moriah Senior Center.
Joseph,"Agudath Israel of America Community Services, Inc.",Senior Programming - Council District 40,133975090,10000,"Funds will support arts and crafts, congregate lunch, tai chi, aerobics, special seasonal/holiday events and other senior center costs."
Williams,"Allen Community Senior Citizens Center, Inc.",,112326244,40000,Funds will support general operating and program expenses.
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,24000,"Funding is to support virtual and recreational programming, and food services at the senior center."
Brooks-Powers,"Allen Community Senior Citizens Center, Inc.",Council District 31,112326244,6000,"Funding will support senior socialization programs including, virtual programs and materials and resources for arts programming in Council District 31."
Marmorato,Allerton Avenue Homeowners and Tenants Association,,133101238,20000,Funds will support senior programming in Allerton.
Williams,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,25000,"Funds will be used for senior district-based programming, office supplies, Physical/Health exercise equipment for members and general operational expense."
Brooks-Powers,"Alpha Phi Alpha Senior Citizens Center, Inc.",Council District 31,237436147,7000,Funding will support programmatic resources and senior services for the seniors Council District 31.
Yeger,"American-Italian Coalition of Organizations, Inc.",,112488439,7500,"Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes."
Zhuang,"American-Italian Coalition of Organizations, Inc.",AMICO 59th Street Older Adult Center,112488439,7500,Funding for senior programs at AMICO 59th Street Older Adult Center.
Hanif,"American-Italian Coalition of Organizations, Inc.",Eileen C Dugan Amico Senior Center,112488439,9000,"To support older adult services at the Eileen C Dugan Amico Senior Center in Carroll Gardens including internet and phone connections, office and activity supplies and household supplies."
Brannan,"Apna Brooklyn Community Center, Inc.",Senior Services - Council District 47,820706930,5000,To support case management services and other programming for senior residents of Council District 47.
Salaam,"ARC XVI Fort Washington, Inc.",,132745426,7500,To provide support and services to older adults. Page 1 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Abreu,"ARC XVI Fort Washington, Inc.",Senior Citizen Transit - Council District 7,132745426,10000,"Funding to support ARC XVI programming for seniors travel for CB 9, 10, 11 and 12 in Council District 7."
De La Rosa,"ARC XVI Fort Washington, Inc.",WHIST Transportation - Council District 10,132745426,15000,"To support WHIST Transportation services for Council District 10, to provide expanded access to medical appointments, COVID testing, Vaccination sites, mental health services, and social trips with additional part-time drivers' hours."
Vernikov,"Art for Charity Association, Inc.",,822103220,10000,"Funding will be used for programs for Holocaust Survivors and WWII veterans including food distributions, holiday celebrations and other events; home visits to provide social and emotional support."
Gennaro,"Asian Americans For Equality, Inc.",,133187792,10000,Funding to support senior programming including intervention and immigrant services.
Zhuang,"Asian Community Center, Inc.",Senior Tax Services,882701146,5000,Funding for senior services including free tax preparation in Council District 43.
Vernikov,"Association of Holocaust Survivors from the Former Soviet Union, Inc.",,113395358,5000,"Funding to support cultural and educational lectures, movies, food distribution and excursions for Holocaust survivors."
Brooks-Powers,"Bartlett Foundation, The",Council District 31,900952784,5000,Funds to be used to assist in senior and veteran community engagement and recognition efforts in Council District 31.
Brannan,"Bay Ridge Center, Inc.",Senior Services & Programming - Council District 47,800559714,8500,"To support operating expenses associated with senior services programming, including events, case management and meal program."
Zhuang,"Be Proud, Inc.",Senior Holiday Celebration,582674169,5000,Funding for holiday celebrations open to the community in Council District 43.
Dinowitz,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",Access to Critical Services for Older Adults - Council District 11,132745303,10000,"Funding for basic direct health services, provide education, counseling around prevention and management of chronic diseases in Council District 11."
Banks,Bergen Basin Community Development Corporation d/b/a Millennium Development,Council District 42,113199040,7000,"Funds will promote health, wellness and nutrition for all seniors in the Council District 42."
Restler,Bergen Basin Community Development Corporation d/b/a Millennium Development,Independence Senior Center - Council District 33,113199040,5000,To support programming for older adults in Council District 33.
Narcisse,Bergen Basin Community Development Corporation d/b/a Millennium Development,Mill Basin Senior Program,113199040,40000,Funding to provide senior educational and recreational activities and services.
Louis,Bergen Basin Community Development Corporation d/b/a Millennium Development,Philip Howard Houses,113199040,21000,Program will support a NORC program at the Philip Howard Houses. It will allow the seniors of the building to come down and have a place to socialize and attend health/wellness classes.
Louis,BHRAGS Home Care Corp,Council District 45,112579798,6000,"Funds will be used to offer year-round seniors services, health initiatives, physical day programming and adult programming for our seniors in Council District 45."
Restler,"BJHI, Inc.",Exploring Brooklyn Jewish Heritage,462245413,5000,To support the gathering and preservation of Jewish oral and video histories focused on neighborhoods in Council District 33. Page 2 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Ariola,Blessed Trinity Roman Catholic Church,Golden Age Club,262885471,5000,"Funds will support the Golden Age Club including senior peer counseling, community updates and information on senior services."
Menin,"Blue Card, Inc., The",,131623910,10000,To help holocaust survivors and related persons with services and educational programs in Council District 5.
Abreu,"Blue Card, Inc., The",Holocaust Education & Combating Hate Program - Council District 7,131623910,10000,Funding to support The Blue Card Holocaust Education Program in Council District 7.
Hanif,Boro Park Jewish Community Council,,113475993,11000,Support services for seniors and holocaust survivors in Council District 39 and the surrounding areas.
Brooks-Powers,"Braata Productions, Inc.",Singing for Seniors - Council District 31,273402327,10000,Funding to support Braata singing programming in senior centers in Council District 31.
Marmorato,"Bronx House, Inc.",,131739935,10000,"Funds will be used to provide breakfast to seniors, trips for seniors, and to help support the senior computer lab."
Sanchez,"BronxWorks, Inc.",60 East Tremont Avenue - Housing Navigator Services & Walk-in Services,133254484,17500,To support housing navigator services and walk-in services at 60 East Tremont Ave.
Ayala,"BronxWorks, Inc.",Community Food Tour - Moore Senior Center,133254484,10000,"To support Community Food Tour series and educate residents about farmers markets, grocery stores, and other food resources at Moore Senior Center."
Feliz,"BronxWorks, Inc.",East Concourse Senior Center,133254484,10000,Funds will support the operations and programming at BronxWorks East Concourse Senior Center.
Sanchez,"BronxWorks, Inc.",Morris Innovative Older Adult Center,133254484,17500,"To support art classes, transportation for recreational trips to theaters and other cultural institutions, and the purchase of new electronic equipment to enhance recreational time at the center."
Stevens,"BronxWorks, Inc.",NORC - River Park Towers - Council District 16,133254484,10000,Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers.
Brannan,Brooklyn Academy of Music,Cultural & Arts Programming for Seniors,112201344,5000,"To support cultural and arts talks, Q&As, workshops, and other programming for seniors in Council District 47."
Hudson,Brooklyn Academy of Music,Programming - Council District 35,112201344,10000,"Funding to support BAM's older adult programs, including senior cinema."
Louis,Brooklyn Academy of Music,Senior & Education Program,112201344,6000,Funds will support senior programming for seniors in Council District 45.
Restler,Brooklyn Bureau of Community Services,Lifelong Enrichment Program - Council District 33,111630780,5000,To support services and activities to senior citizens in Council District 33 with developmental disabilities who are over age 50.
Narcisse,"Brooklyn Chinese-American Association, Inc.",Avenue U Senior Center,113065859,10000,Funding to support recreational and educational activities for older adults at Avenue U Senior Center.
Yeger,"Brooklyn Chinese-American Association, Inc.",Bensonhurst Senior Center,113065859,7500,"Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center."
Aviles,"Brooklyn Chinese-American Association, Inc.",Senior Services - Council District 38,113065859,5000,Funds will be used for recreational and educational activities for older adults.
Hudson,"Brooklyn Community Pride Center, Inc.",LGBTQ+ Social Isolations Programs (Elders) & Health and Wellness Programs (Elders),262214534,5000,"Funding to support ElderPride, LGBTQ+ Social Isolations Programs (Elders) & Health and Wellness Programs (Elders), including programming and recreational services. Page 3 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Hudson,Brooklyn Defender Services,Older Adult Legal Assistance - Council District 35,113305406,5000,Funding to support operational expenses of the Civil Justice Program for older adults in Council District 35.
Louis,"Brooklyn Lifelong Learning, Inc.",Council District 45,463634121,5000,The funds will be used for programmatic support for seniors in Council District 45.
Adams,"Brooks Senior Center, Inc.",Senior Services,112329979,20000,Funds will support the Centers operational costs and programmatic needs.
Carr,Carmel Richmond Nursing Home,,132720248,17000,"Funds will support improved infection prevention and control measures in the nursing home, and partially support the salary of a Infection Control Nurse."
Menin,"Carnegie East House (Housing Development Fund Company, Inc.)",,133436898,5000,Funding will support nursing care including health monitoring and personal care.
Ayala,"Carter Burden Center for the Aging, Inc., The",Lehman Senior Center,237129499,10000,To provide funding for daily programming at Lehman Senior Center.
Ayala,"Carter Burden Center for the Aging, Inc., The",Leonard Covello Senior Center,237129499,10000,To provide funding for daily programming at Leonard Covello Senior Center.
Powers,"Carter Burden Center for the Aging, Inc., The",Luncheon Club & Senior Program,237129499,5000,Funding will support the Carter Burden Luncheon Club and Senior program.
Mealy,"Catholic Charities Community Services, Archdiocese of New York",Riverway Older Adult Center,135562185,10000,"Funds will be used to enhance senior programming, health and wellness, educational, and recreational activities."
Vernikov,"Catholic Charities Neighborhood Services, Inc.",Bay Senior Center,112047151,5000,Funding to support operating and educational programming at Bay Senior Center.
Paladino,"Catholic Charities Neighborhood Services, Inc.",Bayside Senior Center,112047151,5000,"Funding will be used to support educational/recreational & health promotion activities, transportation services and to provide general support to program operation for the Bayside Senior Center in Council District 19."
Caban,"Catholic Charities Neighborhood Services, Inc.",Dellamonica Senior Center,112047151,30000,Funds will be used to defray the cost of operating the Dellamonica Senior Center in Astoria.
Louis,"Catholic Charities Neighborhood Services, Inc.",Glenwood Senior Center,112047151,10000,"Funds will be utilized to support CNS Glenwood Senior Center to enhance and subsidize the services due to increased needs of the elderly as well as educational/recreational & health promotion activities, enhance virtual program."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Howard Beach Senior Center,112047151,5625,"Funds will support the general operations of the Howard Beach Senior Center, as well as the Center's educational, recreational, health and other programs, including transportation needs for seniors."
Restler,"Catholic Charities Neighborhood Services, Inc.",Northside Senior Center,112047151,5000,To support the CCNS Northside Senior Center.
Ariola,"Catholic Charities Neighborhood Services, Inc.",Ozone Park Older Adult Center,112047151,5625,"Funds will support the Ozone Park Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Adams,"Catholic Charities Neighborhood Services, Inc.",Ozone Park Older Adult Center,112047151,5000,"Funds will support educational, recreational and wellness activities for the seniors and to assist with the general costs of the center's operation. Page 4 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Ariola,"Catholic Charities Neighborhood Services, Inc.",Seaside Older Adult Center,112047151,5625,"Funds will support the Seaside Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Zhuang,"Catholic Charities Neighborhood Services, Inc.",Senior Program,112047151,5000,Funding for senior center CCNS Lodge Older Adults.
Lee,"Catholic Charities Neighborhood Services, Inc.",Senior Programming,112047151,26000,"Funds are to be used for Council District 23 seniors, specifically in support of educational and health promotion activities and to subsidize increased meals cost and transportation and to provide general support to program operations."
Narcisse,"Catholic Charities Neighborhood Services, Inc.",The Bay Older Adult Center,112047151,15000,"Funding to support older adult programming, services and activities in Council District 46 at Bay Older Adult Center."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Woodhaven- Richmond Hill Older Adult Center,112047151,5625,"Funds will support the Woodhaven-Richmond Hill Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Hanks,"Center For Hope Services, Inc.",Age-Friendly Care Program - Council District 49,882507208,10000,Funding will support the Age-Friendly Care program in Council District 49.
Farias,"CenterLight Health System, Inc.",NORC Program - Council District 18,133323765,15000,Funding for the NORC Program in Parkchester in Council District 18.
Caban,"Central Astoria Local Development Coalition, Inc.",Senior Services,112652331,7000,Funds will be used to provide counseling and case work assistance to local seniors.
Ariola,"CHAZAQ Organization USA, Inc.",Older Adult Food Pantry,462148352,10000,Funds will be used to support the food pantry that feeds older adults in need.
Aviles,"Chinese American Planning Council, Inc.",Brooklyn Senior Services,136202692,30000,Funding will be used to enhance CPC Brooklyn Senior Center senior program.
Narcisse,"Chinese American Planning Council, Inc.",Constituent Services - Council District 46,136202692,5000,"Funding to provide culturally responsive outreach, services and recreationally activities to older adults in the 46th Council District."
Ung,"Chinese American Planning Council, Inc.",Nan Shan Senior Citizens Center,136202692,19000,"To support Nan Shan Senior, including congregate lunch, case assistance, support services, ESL classes, exercise activities to promote a healthy and active lifestyle, arts and culture activities, and recreation programming for seniors."
Powers,CityMeals on Wheels,,133634381,5000,Funding will support nutritious meals to homebound elderly in Council District 4.
Brooks-Powers,CityMeals on Wheels,Council District 31,133634381,5000,"Funding will provide emergency meals to Council District 31 residents in cases of inclement weather, specific localized emergencies, or city-wide crises."
Brannan,CityMeals on Wheels,Council District 47,133634381,5000,Funds to support Meals on Wheels operations in Council District 47.
Narcisse,CityMeals on Wheels,Emergency Food - Council District 46,133634381,5000,Funding to support emergency meals to older adults in Council District 46.
Hanks,"Community Agency for Senior Citizens, Inc.",Cassidy Coles Older Adult Center,133263537,15000,Funds will be used to provide services and support to Cassidy Coles Older Adult Center. Page 5 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Hanks,"Community Agency for Senior Citizens, Inc.",New Lane Older Adult Center,133263537,15000,Funding will support services at the New Lane Older Adult Center.
Powers,Community Service Society of New York,,135562202,5000,Funding will support the retired and senior volunteer program for older adults in Council District 4.
Salaam,Community Service Society of New York,Americorps Seniors RSVP Program,135562202,5000,To support programmatic and operating cost of Americorps Seniors RSVP program.
Salaam,Community Service Society of New York,Americorps Seniors RSVP program,135562202,5000,To support programmatic and operating cost of Americorps Seniors RSVP program.
Salaam,"Connect, Inc.",,020694269,15000,To help the participants of the program understand address the lasting effects of elder abuse and ageism by empowering the youth to take necessary steps in crisis prevention.
Feliz,"Council of Belmont Organizations, Inc.",Public Benefits Support,132755323,30000,"Funds will support COBO'S senior assistance programming, including filing paperwork for public benefits."
Louis,"Council of Jewish Organizations of Flatbush, Inc.",Elder Abuse Prevention,112864728,5000,"Funds will support COJO service in Council District 45 for immigrant seniors, providing them with assistance to complete applications to obtain permanent residence and citizenship, work permits, adjustments of immigrant status, and fee waiver."
Zhuang,"Council of Jewish Organizations of Flatbush, Inc.",Senior Support Services,112864728,10000,Funding to support senior programs and services.
Louis,"Council of Peoples Organization, Inc.",Council District 45,753046891,6000,Funds will support senior programming in Council District 45.
Hanif,"Council of Peoples Organization, Inc.",Senior Center Programming,753046891,16500,"To support Senior Center and related programs that provide hot meals and food pantry items, as well as offering them critical services in case management, nutrition, and education."
Brewer,"Council of Senior Centers and Services of NYC, Inc.",Rights & Information for Senior Empowerment,132967277,5000,Funding will support Rights & Information for Senior Empowerment programming and services in Council District 6.
Osse,"Crown Heights Jewish Community Council, Inc.",,237390996,10000,Funding will be used for senior social services through Crown Heights Central.
Hudson,"Crown Heights Jewish Community Council, Inc.",Senior Programs - Council District 35,237390996,35000,Funding to support senior programs in Council District 35.
Joseph,Crown Heights Preservation Committee Corporation,Council District 40,112322490,10000,"Funds will support senior exercise classes, as well as staff salaries, supplies, arts and crafts and meals for seniors on wheels."
Hudson,Crown Heights Preservation Committee Corporation,Shalom Senior Center,112322490,10000,"Funding to promote Shalom Senior Center activities such as English Second Language (ESL), fitness classes, arts and crafts and to defray costs of wheel chair accessible bus."
Nurse,"Cypress Hills Fulton Street Senior Citizens Center, Inc.",Senior Programs - Council District 37,112297647,50000,"Funds will go to operational support for NYC Department for the Aging mandated services, health promotion and exercise, technology, insurance and supplemental staff expenses."
Salaam,"Dances for a Variable Population, Inc.",,264572204,6000,To support physical and mental wellness of older adults by keeping them active through the means of dancing. Page 6 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Bottcher,"Dances for a Variable Population, Inc.",Senior Dance & Community Wellness,264572204,8000,Funds will support Senior Dance and Community Wellness Classes.
Sanchez,Department for the Aging,,136400434,18000,Funds will be used for programming and services.
Zhuang,Department for the Aging,,136400434,10000,Funding to support senior programs and services.
Osse,"Digital Girl, Inc.",,472288307,50000,Funding for Age Friendly Central Brooklyn programming including senior pampering day and Mother's Day brunch in District 36.
Sanchez,"Dominicanos USA, Inc.",Council District 14,463738190,17000,To support DUSA's three core programs including but not limited to Adult Literacy Pilot Project: English for Speakers of Other Languages (ESOL) and Citizenship Services.
Joseph,"Dorchester Senior Citizens Center, Inc.",Council District 40,112305581,20000,"Funds will be used to support the nutrition lunch program, and the educational, recreational, arts, cultural and technology programming as well as senior supportive services."
Powers,"DOROT, Inc.",,133264005,5000,Funding will support DOROT's Homelessness Prevention Program which responds to the needs of underserved homeless New York City seniors in Council District 4.
Abreu,"DOROT, Inc.",Council District 7,133264005,10000,Funding to support programming to alleviate isolation of vulnerable older adults in Council District 7.
Brewer,"DOROT, Inc.",Programs to Alleviate Social Isolation for Seniors,133264005,5000,Funds will be used to provide programming and services to alleviate isolation of vulnerable older adults in Council District 6.
Powers,"Doula Program to Accompany and Comfort, Inc.",,461117388,5000,Funding will support end-of-life doula services in Council District 4.
Gutierrez,"Doula Program to Accompany and Comfort, Inc.",Council District 34,461117388,5000,Funding will support programming and services in Council District 34.
Caban,"East River Development Alliance, Inc.",Senior Services - Astoria Houses,861096987,20000,"Funds will be used to provide assistance to local seniors at NYCHA Astoria Houses in the form of workforce development workshops, assistance in navigating public benefits, financial counseling, and free tax preparation assistance."
Ayala,"East Side House, Inc.",Borinquen Court Mitchel Older Adult Center,131623989,5000,To provide funding for enrichment programming and services including trips and extracurricular activities at Borinquen Court Mitchel Older Adult Center.
Ayala,"East Side House, Inc.",Patterson Senior Center,131623989,10000,To provide funding for enrichment programming and services including trips and extracurricular activities at Patterson Senior Center.
Brannan,"Edith and Carl Marks Jewish Community House of Bensonhurst, Inc.",Older Adult Services - Council District 47,111633484,11500,To support social services for older adult residents of Council District 47.
Zhuang,"Edith and Carl Marks Jewish Community House of Bensonhurst, Inc.",Senior Services,111633484,35000,Funding for senior activities as part of the Neighborhood Naturally Occurring Retirement Community Program (NNORC).
Rivera,"Educational Alliance, Inc., The",Sirovich Center,135562210,15000,Funds will support Sirovich Senior Center's programs and operations.
Marte,"Educational Alliance, Inc., The",Weinberg Center for Balanced Living,135562210,10000,Funding will support Weinberg Center for Balanced Living.
Borelli,Eger Health Care and Rehabilitation Center,,133524533,17500,Funds will support Better Life More Living programming and services.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 1,112224539,20000,To fund programming for Golden Phoenix 1. Page 7 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 2,112224539,20000,To fund programming for Golden Phoenix 2.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 3,112224539,20000,To fund programming for Golden Phoenix 3.
Holden,Emerald Isle Immigration Center,Immigrant & Senior Services,112932528,5000,Funds to provide senior programs and services for Council District 30 Immigrants.
Dinowitz,Emerald Isle Immigration Center,Old Adult Services - Woodlawn,112932528,10000,Funding to provide older adult services for the aging diaspora of Irish immigrants in Woodlawn.
Won,Emerald Isle Immigration Center,Senior Services,112932528,10000,"Funding to support the Extended Services program including immigration legal support, mental health screening, insurance enrollment assistance, benefits screenings, and case management/counseling."
Bottcher,Encore Community Services,Meals for Seniors - Council District 3,133104293,8500,"Funds will support the provision, preparation, and delivery of meals to older adults."
Brewer,Encore Community Services,Older Adult Home Delivered Meal Program,133104293,5000,"Funds will support the provision, preparation, and delivery of meals to older adults."
Carr,"Federation of Italian American Organizations of Brooklyn, Ltd.",,112507910,9000,Funding to be used for Senior programming.
Aviles,"Federation of Italian American Organizations of Brooklyn, Ltd.",Older Adult Clubs,112507910,10000,Funds will be used to support older adult clubs for Council District 38.
Joseph,"Fenimore Senior Center, Inc.",Council District 40,112772287,20000,"Funds will support arts & crafts, wellness seminars, and senior center expenses."
Brewer,"Find Aid for the Aged, Inc.",Hamilton Adult Center - Project FIND Older Adult Classes,132666921,5000,Funds will support Project FIND Older Adult Classes and Activities at Hamilton Older Adult Center.
Bottcher,"Find Aid for the Aged, Inc.",Seniors Programming - Council District 3,132666921,9000,Funds will support programming for seniors.
Vernikov,"Flatbush Shomrim Safety Patrol, Inc.",,203244567,10000,Funding to support assistance services for various emergencies associated with seniors.
Louis,"Flatbush Shomrim Safety Patrol, Inc.",Council District 45,203244567,5000,"Funds will support FSSP programs in Council District 45 for elderly constituents. Activities include elderly assistance, biased crime, anti-terrorism awareness, medical awareness programs, 24X6 patrol to assist all emergencies for elderly."
Banks,"Fort Greene Council, Inc.",,112300840,80000,"Funds will be used to serve older adults through the provision of Health and Wellness, Technology, Educational and Recreational Activities and Older Adults trips for participants at the Teresa Moore Sr. Center in East NY"
Osse,"Fort Greene Council, Inc.",Albany Older Adult Club,112300840,5000,Funding will be used for Albany Older Adult Club programming and services.
Louis,"Fort Greene Council, Inc.",Clarendon Road Church Senior Programing - Council District 45,112300840,20000,Funds will be used to support Senior Programming for seniors at Clarendon Road Church.
Hudson,"Fort Greene Council, Inc.",Grace Agard - Harewood Neighborhood Senior Center,112300840,20000,Funding to support programming at FGC's Grace Agard Harewood Senior Center.
Osse,"Fort Greene Council, Inc.",Grant Square Older Adult Club (OAC),112300840,5000,Funding will be used for Grant Square Older Adult Club (OAC) programming and services. Page 8 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Mealy,"Fort Greene Council, Inc.",Hugh Gilroy Senior Center,112300840,15000,"The funds will be used to serve all persons 60 years and older, to provide Health and Wellness, Technology, Educational & Recreational activities and Older Adults trips."
Mealy,"Fort Greene Council, Inc.",Marcus Garvey Older Adult Club,112300840,5000,"Funds will be used to enhance senior programming, health and wellness, educational, and recreational activities."
Osse,"Fort Greene Council, Inc.",Maria Lawton Older Adult Club (OAC),112300840,5000,Funding will be used for Maria Lawton Older Adult Club (OAC) programming and services.
Mealy,"Fort Greene Council, Inc.",Mt. Ararat Senior Center,112300840,20000,"The funds will be used to serve all persons 60 years and older, to provide Health and Wellness, Technology, Educational and recreational activities and Older Adults trips."
Banks,"Fort Greene Council, Inc.",Senior Recreational & Education Program,112300840,8000,"Funds will be used to serve older adults through the provision of Health and Wellness, Technology, Educational and Recreational Activities and Older Adults trips for participants at the Teresa Moore Sr. Center in East NY."
Mealy,"Fort Greene Council, Inc.",Seth Low Senior Club,112300840,10000,"Funds will be used to enhance senior programming, health and wellness, educational, and recreational activities."
Osse,"Fort Greene Council, Inc.",Stuyvesant Heights Older Adult Club,112300840,5000,Funding will be used for Stuyvesant Heights Older Adult Club programming and services.
Powers,"Fund for the City of New York, Inc.",Stonewall Community Development Corporation,132612524,5000,Funding will support the LGBTQ Stonewall Village Senior Housing Project.
Sanchez,"Fundacion de Ayuda a las Familias y Envejecientes, Inc.",Poverty Prevention Program,853130678,10000,To address food insecurity and provide resources to seniors in Council District 14.
Ariola,"Giving Alternative Learners Uplifting Opportunities, Inc.",Therapeutic Riding & Programs for Older Adults,050615968,5000,Funds will support equestrian lessons and therapeutic riding for older adults.
Brewer,Goddard Riverside Community Center,Lincoln Square Neighborhood Center - Adult Center,131893908,15000,Funds will be used for programming and services for the Adult Center at Lincoln Square Neighborhood Center.
